model,date,etf,rank,predicted_return,top3_mean_pred,filter_threshold,passes_filter,actual_return,short_pnl_ew,direction_correct
RegimeRF,2024-07-26,XLF,11,0.003639,0.008754,-0.008754,False,0.053674,0.0,False
RegimeRF,2024-07-26,XLK,10,0.004289,0.008754,-0.008754,False,0.018726,0.0,False
RegimeRF,2024-07-26,XLU,9,0.004494,0.008754,-0.008754,False,0.07194,0.0,False
RegimeRF,2024-08-30,XLI,9,-0.001621,-0.000169,0.000169,True,0.028965,-0.009655,False
RegimeRF,2024-08-30,XLP,11,-0.002525,-0.000169,0.000169,True,0.011528,-0.003843,False
RegimeRF,2024-08-30,XLV,10,-0.002274,-0.000169,0.000169,True,-0.02296,0.007653,True
RegimeRF,2024-09-27,XLF,9,-0.002544,0.000275,-0.000275,True,0.03278,-0.010927,False
RegimeRF,2024-09-27,XLP,10,-0.003124,0.000275,-0.000275,True,-0.023609,0.00787,True
RegimeRF,2024-09-27,XLV,11,-0.003512,0.000275,-0.000275,True,-0.028951,0.00965,True
RegimeRF,2024-10-25,XLP,10,-0.002647,-9.9e-05,9.9e-05,True,0.026647,-0.008882,False
RegimeRF,2024-10-25,XLU,9,-0.001976,-9.9e-05,9.9e-05,True,0.031724,-0.010575,False
RegimeRF,2024-10-25,XLY,11,-0.003238,-9.9e-05,9.9e-05,True,0.107017,-0.035672,False
RegimeRF,2024-11-29,IYR,10,0.000712,0.001823,-0.001823,False,-0.086736,0.0,True
RegimeRF,2024-11-29,XLE,9,0.000903,0.001823,-0.001823,False,-0.107407,0.0,True
RegimeRF,2024-11-29,XLY,11,-0.000578,0.001823,-0.001823,False,0.035427,0.0,False
RegimeRF,2024-12-27,XLE,11,-0.005945,-0.001415,0.001415,True,,0.0,
RegimeRF,2024-12-27,XLP,10,-0.005242,-0.001415,0.001415,True,,0.0,
RegimeRF,2024-12-27,XLU,9,-0.005209,-0.001415,0.001415,True,,0.0,
